Intervalo de datas,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,SKU do produto anunciado-Advertised product SKU,Identificador do produto anunciado,Nome do produto anunciado,Marketplace do produto anunciado-Advertised product marketplace,ID do portfólio,Nome do portfólio,Moeda do orçamento,Impressões,Cliques,CTR,CPC,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,Q3060-B,B0H51M7C59,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,896,5,0.5580%,0.19400,0.97,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2450-B,B0H6KLWTPC,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,226,1,0.4425%,0.39000,0.39,0.00,0.00000,0,0,0.0000%
13 de ago. de 2026 - 21 de ago. de 2026,"=""227485829194320""",Campanha - Manual Bituqueiras Space,"=""179597446155591""",Manual Bituqueiras Space,SP-PP,B0H5X97DR7,,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,6,0,0.0000%,,0.00,0.00,,0,0,
5 de ago. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,SP-PP,B0H5X97DR7,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,219,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 11 de ago. de 2026,"=""151214408407609""",Campanha de Produto Indicado- SP-PP-o103/07,"=""25520630990729""",Campanha de Produto Indicado- SP-PP-o103/07,SP-PP,B0H5X97DR7,,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,576,1,0.1736%,0.42000,0.42,0.00,0.00000,0,0,0.0000%
6 de ago. de 2026 - 7 de ago. de 2026,"=""190353171933793""",Campanha de Palavra-Chave- SP-PP-o116/07,"=""90499513797009""",Campanha de Palavra-Chave- SP-PP-o116/07,SP-PP,B0H5X97DR7,,AMAZON_BR,178029480993742,campanha de palavra chave,BRL,6,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 23 de ago. de 2026,"=""234950194216241""",campanha automática individual- SP-PP-o116/07,"=""559914515436204""",campanha automática individual- SP-PP16/07,SP-PP,B0H5X97DR7,,AMAZON_BR,1383289894499,campanha automatica individual,BRL,20006,14,0.0700%,0.97214,13.61,0.00,0.00000,0,0,0.0000%
26 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2460-AML,B0H6NM3QBS,Lixeira Aro Meia Lua em Aço Inox 27 Litros 24x60 centímetros Prateada para Uso Interno,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,107,1,0.9346%,0.76000,0.76,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,PG2470,B0H7T71WHG,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,1091,2,0.1833%,0.69000,1.38,0.00,0.00000,0,0,0.0000%
26 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2460-A,B0H6QYTSNV,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,305,1,0.3279%,0.75000,0.75,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L3085-B,B0H51PF33S,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,487,2,0.4107%,0.52500,1.05,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,P2025,B0H7L6HYFW,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,637,0,0.0000%,,0.00,0.00,,0,0,
5 de ago. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,4,0,0.0000%,,0.00,0.00,,0,0,
30 de jul. de 2026 - 23 de ago. de 2026,"=""128467924533879""",Campanha - Extintor Palavra-Chave Exato Manual,"=""246454765415283""",Campanha - Extintor Palavra-Chave Exato Manual,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,99873185432506,Campanhas Manuais Claude,BRL,155,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 23 de ago. de 2026,"=""957557930999""",Campanha de Produto Indicado- PXM-o311/08,"=""261168792220999""",Campanha de Produto Indicado- PXM-o311/08,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,146788124202114,campanha de produto indicado,BRL,905,1,0.1105%,0.59000,0.59,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 23 de ago. de 2026,"=""163724971822822""",campanha automática individual- PXM-o228/07,"=""560459911677559""",campanha automática individual- PXM-o228/07,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,1383289894499,campanha automatica individual,BRL,2075,7,0.3373%,1.00857,7.06,0.00,0.00000,0,0,0.0000%
25 de jul. de 2026 - 10 de ago. de 2026,"=""252196439586079""",Campanha de Palavra-Chave- PXM-o116/07,"=""64600466795928""",Campanha de Palavra-Chave- PXM-o116/07,PXM,B0H4S3FHG6,Suporte de Chão para Extintor de Incêndio de 6 kg em Aço Inox 20x50 cm Porta Extintor Áreas Internas,AMAZON_BR,178029480993742,campanha de palavra chave,BRL,50,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,L2430-AML,B0H6MYJ5P3,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,351,0,0.0000%,,0.00,0.00,,0,0,
25 de jul. de 2026 - 23 de ago. de 2026,"=""230543495581941""",campanha automatica geral DBA-o311/08,"=""306910018834945""",Campanha automatica geral DBA-o311/08,Q2460-A,B0H4P1FFWQ,,AMAZON_BR,264141269671834,Campanha automatica geral,BRL,366,0,0.0000%,,0.00,0.00,,0,0,
