Intervalo de datas,Termo de pesquisa,Identificador da campanha,Nome da campanha,ID do grupo de anúncios,Nome do grupo de anúncios,Segmentação,Tipo de correspondência de segmentação-Targeting match type,ID do portfólio,Nome do portfólio,SKU do produto anunciado-Advertised product SKU,Moeda do orçamento,Impressões,Cliques,CPC,CTR,Custo total,Vendas,ROAS,Compras,Unidades vendidas,Taxa de compra em relação aos cliques
5 de set. de 2026 - 5 de set. de 2026,relogio de parede gigante,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,SP-PP,BRL,1,1,0.57000,100.0000%,0.57,0.00,0.00000,0,0,0.0000%
4 de set. de 2026 - 13 de set. de 2026,lixeira redonda banheiro,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-B,BRL,1,1,0.64000,100.0000%,0.64,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 24 de ago. de 2026,lixeira cozinha pia inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,2,2,0.80000,100.0000%,1.60,0.00,0.00000,0,0,0.0000%
24 de ago. de 2026 - 27 de ago. de 2026,B01N0AF6Q5,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,4,1,0.72000,25.0000%,0.72,0.00,0.00000,0,0,0.0000%
28 de ago. de 2026 - 28 de ago. de 2026,lixeira cozinha 3 l inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,3,1,0.79000,33.3333%,0.79,0.00,0.00000,0,0,0.0000%
19 de ago. de 2026 - 8 de set. de 2026,lixeira de banheiro inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,9,1,0.72000,11.1111%,0.72,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 8 de set. de 2026,B07TXWL7SJ,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2470-B,BRL,12,1,0.80000,8.3333%,0.80,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 20 de ago. de 2026,lixeira 50,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin=""B0CYWMQ93Y""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,1,1,1.00000,100.0000%,1.00,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 20 de ago. de 2026,lixeira inox 3l sem pedal,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L1618-T,BRL,2,1,0.32000,50.0000%,0.32,0.00,0.00000,0,0,0.0000%
15 de ago. de 2026 - 11 de set. de 2026,lixo banheiro inox,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L2025-T,BRL,13,1,0.80000,7.6923%,0.80,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 13 de set. de 2026,B0H8T9KH78,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P3060,BRL,206,1,0.34000,0.4854%,0.34,0.00,0.00000,0,0,0.0000%
17 de ago. de 2026 - 17 de ago. de 2026,lixeira com basculante 30 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,L3040-B,BRL,1,1,0.66000,100.0000%,0.66,0.00,0.00000,0,0,0.0000%
20 de ago. de 2026 - 13 de set. de 2026,lixeira inox 60l,"=""204200209630375""",Campanha de Produto Indicado- P3070-o228/07,"=""199631127286200""",Campanha de Produto Indicado- P3070-o228/07,"asin-expanded=""B0H63FKGPJ""",TARGETING_EXPRESSION,146788124202114,campanha de produto indicado,P3070,BRL,12,1,1.95000,8.3333%,1.95,0.00,0.00000,0,0,0.0000%
27 de ago. de 2026 - 7 de set. de 2026,porta guarda chuva aço,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,close-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,PG2460,BRL,10,2,0.13500,20.0000%,0.27,223.88,829.18519,1,1,50.0000%
19 de ago. de 2026 - 25 de ago. de 2026,papel de parede,"=""234950194216241""",campanha automática individual- SP-PP-o59/09,"=""559914515436204""",campanha automática individual- SP-PP-o59/09,substitutes,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,SP-PP,BRL,2188,1,0.82000,0.0457%,0.82,0.00,0.00000,0,0,0.0000%
23 de ago. de 2026 - 6 de set. de 2026,lixeira 200 litros,"=""230543495581941""",campanha automatica geral DBA-o59/09,"=""306910018834945""",Campanha automatica geral DBA-o59/09,loose-match,TARGETING_EXPRESSION_PREDEFINED,264141269671834,Campanha automatica geral,P4080ALC,BRL,6,1,0.80000,16.6667%,0.80,0.00,0.00000,0,0,0.0000%
15 de ago. de 2026 - 7 de set. de 2026,extintor abc,"=""163724971822822""",campanha automática individual- PXM-o425/08,"=""560459911677559""",campanha automática individual- PXM-o425/08,close-match,TARGETING_EXPRESSION_PREDEFINED,1383289894499,campanha automatica individual,PXM,BRL,7,1,0.74000,14.2857%,0.74,0.00,0.00000,0,0,0.0000%
